urun_adi,kimin için,ne için
Renkli Taşlı Altın Kolye,kardeşin,yeni iş/terfi
Erkek Siyah Pırlanta Küpe (Tek Adet Fiyatıdır),çocuğun,geçmiş olsun
Gül Elmas Kolye,baban,söz-nişan-düğün
Siyah Elmas Pırlantalı Kolye,eşin,geçmiş olsun
Markiz Kesim Siyah Pırlanta Yüzük,iş arkadaşın,yeni iş/terfi
Siyah ve Beyaz Pırlanta Yarımtur Yüzük,arkadaşın,anneler günü
Dorissa İtalyan Üç Renk Sallantılı Kolye Modeli,iş arkadaşın,söz-nişan-düğün
Elmas Gül Altın Kolye,baban,içimden geldi
Şans Altın Kolye,iş arkadaşın,doğum günü
ATATÜRK İmzası Altın Kolye,çocuğun,özür dilerim
Siyah ve Beyaz Pırlanta Gerdanlık,sevgilin,doğum günü
Siyah Pırlanta Kolye Teramo,baban,özür dilerim
14 Ayar Altın Dorissa Tasarım İkili Kolye,arkadaşın,içimden geldi
Müzik Nota Sembolü Altın Kolye,arkadaşın,içimden geldi
Alın Çakrası Altın Kolye,sevgilin,yeni iş/terfi
Tasarım Siyah Pırlanta Küpe,kardeşin,içimden geldi
14 Ayar Altın Melek Kolye,çocuğun,geçmiş olsun
Siyah Beyaz Çiçek Pırlanta Kolye,baban,söz-nişan-düğün
Siyah Pırlanta Yaprak Kolye,baban,yıl dönümü
0.40 Karat G Renk Pırlanta Tektaş Yüzük Norwich,arkadaşın,yıl dönümü
0.30 Karat Pırlanta G Renk Tektaş Yüzük Livorno,baban,geçmiş olsun
Yıldız Yonca Pırlanta Kolye,kardeşin,yıl dönümü
Miracle Pırlanta Suyolu Bileklik Tavira,annen,yıl dönümü
Altın Sarmal Yüzük,annen,yıl dönümü
Oval Pembe Taşlı Altın Yüzük,iş arkadaşın,özür dilerim
14 Ayar Altın Dorika Üçrenk Toplu Yüzük,sevgilin,geçmiş olsun
Ametist ve Mavi Topaz Taşlı Altın Yüzük,eşin,yıl dönümü
Toplu Altın Yüzük 3 Farklı Renk Seçeneği,eşin,söz-nişan-düğün
3 Renkli Toplu Altın Yüzük,baban,doğum günü
Mavi Topaz Oval Altın Yüzük,arkadaşın,yıl dönümü
8 Ayar Miracle Pırlanta Tektaş Beştaş Yüzük,kardeşin,geçmiş olsun
Pırlanta Miracle Tektaş Yüzük (0.20 Karat Görünüm),arkadaşın,yıl dönümü
0.55 Karat Pırlantalı Prenses Tektaş Yüzük,arkadaşın,söz-nişan-düğün
0.50 Karat Pırlantalı Fantezi Damla Kesim Yüzük,baban,yıl dönümü
0.40 Karat Pırlantalı Fantezi Damla Kesim Yüzük,sevgilin,içimden geldi
Pırlanta Varlık Sembolü Kolye,annen,doğum günü
Pırlantalı Adinkra Varlık Sembolü Kolye (Besa Saka),çocuğun,söz-nişan-düğün
Kelt Sembolleri- Pırlanta Dostluk Sembolü Kolye,eşin,geçmiş olsun
Kelt Sembolleri- Sonsuz Mutluluk Düğümü Altın Kolye (Herakles),eşin,içimden geldi
Pırlanta KarTanesi Kolye Brande,baban,yeni iş/terfi
Safir Şans Pırlanta Küpe,iş arkadaşın,söz-nişan-düğün
Tek Arzum Tek Tanem Pırlanta Kolye,çocuğun,içimden geldi
Pırlantalı Kar Çiçeği Kolye,eşin,anneler günü
Şans Damla Safir Küpe,çocuğun,geçmiş olsun
Pırlanta Semboller Koleksiyonu Yaşam Çiçeği Kolyesi,çocuğun,doğum günü
0.44 Karat Pırlanta Tasarım Fantezi Yüzük,baban,içimden geldi
0.80 Karat G Renk Pırlanta Tektaş Yüzük,arkadaşın,yeni iş/terfi
7 Çakra Renkli Mineli Altın Kolye,sevgilin,özür dilerim
0.60 Karat G Renk Pırlanta Tektaş Yüzük,çocuğun,doğum günü
0.50 Karat G Renk Pırlanta Tektaş Yüzük,iş arkadaşın,yeni iş/terfi
0.70 Karat G Renk Pırlanta Tektaş Yüzük,baban,içimden geldi
Effect Pırlanta Kar Tanesi Kolye,çocuğun,anneler günü
Renkli Taşlı Damla Altın Yüzük,eşin,söz-nişan-düğün
Ametist Taşlı Çiçek Altın Kolye,sevgilin,geçmiş olsun
Mavi Topaz Altın Kolye,sevgilin,yeni iş/terfi
Şifa Meleği İsrafil Peridot Altın Kolye,sevgilin,içimden geldi
Pırlanta Safir Bileklik,eşin,geçmiş olsun
Tanzanit Pırlanta Şans Yüzük,annen,içimden geldi
Safir Pırlanta Yüzük,eşin,içimden geldi
0.27 Karat Yakut Pırlanta Yüzük,iş arkadaşın,doğum günü
0.38 Karat Zümrüt Taşlı Pırlanta Yüzük,sevgilin,söz-nişan-düğün
0.33 Karat Safir Pırlanta Kolye,arkadaşın,yıl dönümü
0.38 Karat Baget Pırlanta Pasta Yüzük,çocuğun,anneler günü
Oval Formda Baget Pırlanta Yüzük,sevgilin,söz-nişan-düğün
0.67 Karat Octogon Baget Pırlanta Yüzük,baban,doğum günü
Pırlantalı Damla Kesimli Zümrüt Yüzük,iş arkadaşın,içimden geldi
Pırlanta Zümrüt Yüzük,eşin,doğum günü
0.76 Karat Baget Pırlantalı Yüzük,iş arkadaşın,özür dilerim
Baget Pırlantalı Oval Kesim Zümrüt Yüzük,arkadaşın,yıl dönümü
0.89 Karat Pırlanta Safir Yüzük,çocuğun,doğum günü
Pırlantalı Baget Yüzük,eşin,içimden geldi
0.29 Karat Pırlanta Baget Kolye,annen,anneler günü
0.48 Karat Pırlanta Baget Bileklik,kardeşin,doğum günü
0.97 Karat Pırlanta Baget Bileklik,kardeşin,yıl dönümü
Beş Taçlı Baget Pırlanta Yüzük,annen,doğum günü
Baget Pırlanta 0.48 Karat Yüzük,annen,geçmiş olsun
Prenses Kesim Pırlantalı Baget Yüzük,çocuğun,özür dilerim
0.96 Karat Pırlanta Baget Yüzük,eşin,yeni iş/terfi
0.25 Karat Pırlanta Baget Fantezi Yüzük,eşin,yeni iş/terfi
0.72 Karat Effect Pırlantalı Yüzük,annen,içimden geldi
0.38 Karat Baget Pırlantalı Yüzük,sevgilin,özür dilerim
0.70 Karat Effect Pırlanta Yüzük,sevgilin,söz-nişan-düğün
0.61 Karat Effect Pırlanta Yüzük,baban,geçmiş olsun
Pırlanta Yakut Yüzük,iş arkadaşın,özür dilerim
Baget ve Effect Pırlantalı Yüzük,arkadaşın,söz-nişan-düğün
Miracle Pırlanta Effect Fantezi Yüzük,sevgilin,içimden geldi
0.16 Karat Pırlanta Yarımtur Yüzük,kardeşin,yeni iş/terfi
0.62 Karat Pırlanta Yarımtur Yüzük,iş arkadaşın,doğum günü
0.57 Karat Fantezi Pırlanta Yüzük,baban,doğum günü
Pırlantalı Aşk Mührü Fantezi Yüzük,sevgilin,söz-nişan-düğün
Pırlantalı Sonsuz Parıltı Fantezi Midi Yüzük,kardeşin,yıl dönümü
Siyah Pırlantalı Fantezi Yüzük,arkadaşın,özür dilerim
0.33 Karat Pırlanta Tamtur Baget Yüzük,arkadaşın,doğum günü
Pırlanta Kanat Yüzük,baban,söz-nişan-düğün
1.11 Karat Pırlanta Safir Yüzük,çocuğun,doğum günü
0.21 Karat Pırlantalı Effect Tektaş Yüzük,baban,söz-nişan-düğün
Pırlanta Effect Baget Yüzük,baban,yeni iş/terfi
Pırlanta Baget Effect Küpe,eşin,doğum günü
Pırlanta Taşlı Zümrüt Yüzük,kardeşin,özür dilerim
0.94 Karat Pırlanta Zümrüt Yüzük,kardeşin,özür dilerim
Anturaj Pırlanta Zümrüt Yüzük,çocuğun,anneler günü
0.52 Karat Pırlanta Oval Safir Yüzük,baban,yeni iş/terfi
Pırlanta Oval Tanzanit Yüzük,annen,yeni iş/terfi
Markiz Pırlantalı Fantezi Yüzük,arkadaşın,içimden geldi
Pırlanta Damla Effect Yüzük,baban,içimden geldi
0.35 Karat Pırlanta Tamtur Yüzük,arkadaşın,söz-nişan-düğün
Pırlanta Tasarım 5 Taş Yüzük,annen,söz-nişan-düğün
0.58 Karat Pırlantalı Suyolu Bileklik,çocuğun,içimden geldi
1 Karat Pırlanta Suyolu Bileklik,eşin,özür dilerim
0.21 Karat Pırlanta Markiz Fantezi Tektaş Yüzük,eşin,söz-nişan-düğün
Pırlanta Sıra Taşlı Baget Yüzük,annen,özür dilerim
0.38 Karat Pırlanta Baget Kolye,baban,söz-nişan-düğün
0.35 Karat Pırlanta Baget Safir Kolye,sevgilin,yıl dönümü
0.25 Karat Pırlantalı Miracle Tektaş Yüzük,iş arkadaşın,özür dilerim
Baget Pırlantalı Oval Yakut Yüzük,eşin,yeni iş/terfi
Pırlanta Effect Tektaş Yüzük,arkadaşın,söz-nişan-düğün
0.42 Karat Pırlanta Baget Yüzük,baban,içimden geldi
0.95 Karat Pırlanta Safir Yüzük,çocuğun,geçmiş olsun
0.09 Karat Baget Pırlanta Kolye,arkadaşın,söz-nişan-düğün
Oval Formda Pırlanta Baget Yüzük,kardeşin,içimden geldi
Pırlanta Effect Yüzük Rimini,arkadaşın,özür dilerim
Oval Kesim Zümrüt Taşlı Pırlanta Yüzük,annen,yıl dönümü
Pırlantalı Markiz Kesim Yakut Yüzük,arkadaşın,geçmiş olsun
0.59 Karat Pırlanta Trapez Kesim Safir Yüzük,çocuğun,içimden geldi
0.41 Karat Pırlanta Safir Yüzük,eşin,içimden geldi
0.98 Karat Pırlanta Damla Kesim Zümrüt Yüzük,sevgilin,söz-nişan-düğün
Pırlanta Effect Yüzük Foggia,arkadaşın,anneler günü
1.03 Karat Pırlanta Su Yolu Bileklik,annen,doğum günü
0.44 Karat Baget Pırlanta Bileklik,çocuğun,anneler günü
0.37 Karat Baget Pırlanta Kolye,arkadaşın,içimden geldi
0.75 Karat Uluslararası Sertifikalı Pırlantalı Fantezi Tektaş Yüzük,çocuğun,doğum günü
0.38 Karat Pırlantalı Fantezi Tektaş Yüzük,çocuğun,söz-nişan-düğün
Baget Pırlantalı Tek Taş Fantezi Yüzük,eşin,anneler günü
Pırlanta Çift Baget Yüzük,iş arkadaşın,içimden geldi
Pırlanta Çift Baget Küpe,baban,doğum günü
Pırlanta Çift Baget Kolye,annen,söz-nişan-düğün
Fantezi Effect Pırlanta Yüzük,kardeşin,özür dilerim
Pırlanta Kuru Kafa Bilezik,baban,yıl dönümü
Pırlanta Ok Sembolü Bilezik,annen,yeni iş/terfi
0.30 Karat Baget Pırlanta Yakut Yüzük,annen,yeni iş/terfi
1.11 Karat Pırlanta Yakut Yüzük,kardeşin,geçmiş olsun
Pırlanta Yakut Nar-ı Aşk Yüzük,annen,anneler günü
0.53 Karat Pırlanta Baget Yüzük,iş arkadaşın,söz-nişan-düğün
1.01 Karat Pırlanta Baget Yüzük,sevgilin,yıl dönümü
0.43 Karat Pırlantalı Baget Yüzük,arkadaşın,geçmiş olsun
Pırlanta Baget Trend Yüzük,arkadaşın,anneler günü
Baget Pırlantalı Hexagon Altın Küpe,eşin,yıl dönümü
Baget Pırlantalı Hexagon Altın Yüzük,iş arkadaşın,söz-nişan-düğün
Pırlanta Safir Erkek Bileklik,çocuğun,içimden geldi
Baget Pırlantalı Hexagon Altın Kolye,iş arkadaşın,anneler günü
0.51 Karat Pırlantalı Baget Yüzük,iş arkadaşın,yeni iş/terfi
Markiz Kesim Yakut Yüzük,annen,anneler günü
Pırlanta Garnet Taşlı Yüzük,sevgilin,içimden geldi
Oval Siyah Pırlanta Yüzük,sevgilin,özür dilerim
0.94 Karat Pırlanta Baget Yüzük,annen,yeni iş/terfi
0.08 Karat Pırlanta Baget Fantezi Bileklik,kardeşin,geçmiş olsun
Dünya Kıtalar Sembolü Altın Kolye,annen,özür dilerim
Pırlanta Kalp Yüzük,eşin,yeni iş/terfi
Pırlanta Fantezi Baget Yüzük Molfetta,arkadaşın,geçmiş olsun
0.91 Karat Pırlantalı Baget Yüzük,arkadaşın,özür dilerim
Pırlanta Trend Yüzük Latina,kardeşin,söz-nişan-düğün
Renkli Taşlı Yüzük,sevgilin,geçmiş olsun
0.60 Karat Pırlanta Beştaş Yüzük,iş arkadaşın,içimden geldi
Baget Pırlanta Damla Bileklik,çocuğun,özür dilerim
Pırlantalı Siemensstern Su Yolu Bileklik,eşin,yıl dönümü
2.85 Karat Baget Pırlantalı Fantezi Bileklik,kardeşin,yıl dönümü
0.39 Karat Fantezi Pırlanta Baget Kolye,annen,özür dilerim
0.98 Karat Pırlanta Fantezi Baget Yüzük,annen,içimden geldi
Miracle Pırlantalı Baget Fantezi Küpe,baban,söz-nişan-düğün
Miracle Pırlantalı Baget Fantezi Yüzük,eşin,söz-nişan-düğün
0.41 Karat Pırlantalı Baget Yüzük,sevgilin,yıl dönümü
1.32 Karat Pırlantalı Fantezi Baget Yüzük,annen,yıl dönümü
Pırlanta Effect Fantezi Kolye Ragusa,kardeşin,yıl dönümü
0.61 Karat Pırlanta Prenses Fantezi Yüzük,iş arkadaşın,içimden geldi
Mineli Altın Dünya Küpe,kardeşin,yeni iş/terfi
0.86 Karat Pırlantalı Baget Yüzük,iş arkadaşın,doğum günü
Baget Pırlantalı Bileklik,çocuğun,yeni iş/terfi
2.61 Karat Pırlanta Beştaş Alyans,kardeşin,yıl dönümü
0.24 Karat Bagetli Pırlanta Tektaş Yüzük,çocuğun,içimden geldi
1.62 Karat Pırlanta Baget Bileklik,sevgilin,yeni iş/terfi
Pırlanta Zultanit Bileklik,annen,özür dilerim
Baget Pırlantalı X Küpe,çocuğun,yeni iş/terfi
Fancy Color Damla Yüzük,eşin,yeni iş/terfi
0.60 Karat Pırlanta Baget Küpe,sevgilin,yıl dönümü
0.18 Karat Effect Pırlanta Yüzük,baban,içimden geldi
Pırlanta Baget Sonce Kolye,çocuğun,anneler günü
Habbeli Altın Kolye,çocuğun,içimden geldi
Pırlanta Bagetli Beştaş Yüzük,sevgilin,yeni iş/terfi
Sedefli Nazar Boncuk Altın Kolye,arkadaşın,anneler günü
Pırlantalı Oval Zümrüt Yüzük,çocuğun,özür dilerim
Pırlantalı Fantezi Sarmaşık Yüzük,iş arkadaşın,doğum günü
Pırlanta Fantezi Effect Yüzük Padova,eşin,doğum günü
Baget Pırlantalı PiedraSol Fantezi Yüzük,baban,yeni iş/terfi
1.43 Karat Baget Pırlantalı Su Yolu Bileklik,annen,doğum günü
Pırlanta Baget Yarımtur Yüzük,sevgilin,içimden geldi
Bilgelik Sembolü Altın Bileklik,baban,yıl dönümü
Pırlanta Markiz Fantezi Yüzük,çocuğun,yeni iş/terfi
Mine Çerçeveli Altın Harf Kolye,annen,doğum günü
Mineli Altın Plaka Dünya Kolye,arkadaşın,yeni iş/terfi
Baget Pırlantalı Oblong Fantezi Yüzük,eşin,içimden geldi
Baget Pırlantalı Tribracus Fantezi Yüzük,çocuğun,özür dilerim
Baget Pırlanta Aşk Çemberi Yüzük,kardeşin,özür dilerim
0.66 Karat Fantezi Baget Pırlanta Yüzük,eşin,yıl dönümü
0.96 Karat Baget Pırlantalı Fantezi Yüzük,sevgilin,içimden geldi
0.50 Karat Pırlantalı Fantezi Tasarım Baget Yüzük,kardeşin,doğum günü
Pırlanta Fantezi Baget Yüzük Faenza,annen,anneler günü
Değişim Sembolü (Sesa Wo Suban) Altın Kolye,baban,yeni iş/terfi
Aşk Sembolü Altın Kolye,baban,içimden geldi
Renkli Mineli Altın Dünya Kolye,eşin,içimden geldi
Altın Köpek Kolye,annen,içimden geldi
0.28 Karat Pırlantalı Prenses Kesim Yüzük,iş arkadaşın,yeni iş/terfi
0.33 Karat Pırlanta Baget Yüzük,baban,yeni iş/terfi
Baget Pırlanta Eguzkia Küpe,kardeşin,söz-nişan-düğün
Baget Pırlanta Eguzkia Kolye,iş arkadaşın,içimden geldi
Baget Pırlanta Eguzkia Yüzük,iş arkadaşın,özür dilerim
Renkli Taşlı Pırlanta Yüzük,baban,doğum günü
1.29 Karat Pırlanta Safir Yüzük,eşin,yeni iş/terfi
0.27 Karat Pırlantalı Baget Yüzük,annen,içimden geldi
0.89 Karat Pırlantalı Baget Yüzük,eşin,özür dilerim
Tria Baget Pırlantalı Yüzük,kardeşin,yeni iş/terfi
Siyah Pırlantalı Markiz Yüzük,kardeşin,yeni iş/terfi
Tek Baget Pırlantalı Kolye,annen,özür dilerim
0.63 Karat Pırlanta Tamtur Kanal Yüzük,sevgilin,içimden geldi
Pırlantalı Çift Baget Yüzük,annen,doğum günü
0.15 Karat Pırlanta Tamtur Yüzük,baban,içimden geldi
0.31 Karat Pırlanta Tamtur Alyans,çocuğun,özür dilerim
0.35 Karat Pırlanta Baget Küpe,arkadaşın,yeni iş/terfi
0.17 Karat Pırlantalı Baget Yüzük,annen,anneler günü
0.17 Karat Pırlanta Baget Kolye,iş arkadaşın,özür dilerim
Gurmet 14 Ayar Altın Zincir Kolye,sevgilin,söz-nişan-düğün
Toplu Altın Zincir Kolye,baban,yıl dönümü
Fatma Eli Sallantılı Altın Küpe,eşin,özür dilerim
Singapur Model Altın Zincir Kolye,kardeşin,özür dilerim
Nazar Boncuk Kolye,baban,yıl dönümü
Baget Pırlantalı Kalpli Fantezi Çift Yüzük,eşin,söz-nişan-düğün
Oval Kesim Siyah Pırlanta Yüzük,iş arkadaşın,özür dilerim
Damla Peridot Taşlı Altın Yüzük,çocuğun,anneler günü
Tektaş Siyah Pırlantalı Yüzük,kardeşin,yeni iş/terfi
Damla Zultanit Taşlı Yüzük,çocuğun,içimden geldi
0.39 Karat Baget Pırlantalı Yüzük,arkadaşın,içimden geldi
Pırlantalı Kelepçe Bileklik,çocuğun,doğum günü
0.74 Karat Baget Pırlantalı Tasarım Yüzük,eşin,doğum günü
Baget Pırlantalı Fantezi Yüzük Molfetta,baban,özür dilerim
Pembe Taşlı Tektaş Yüzük,kardeşin,doğum günü
Siyah Pırlanta Tektaş Yüzük Mompiano,annen,söz-nişan-düğün
Pırlanta Safir Gerdanlık,arkadaşın,içimden geldi
1.36 Karat Baget Pırlantalı Yüzük,iş arkadaşın,içimden geldi
1.87 Karat Çift Kollu Pırlanta Baget Yüzük,baban,içimden geldi
1.26 Karat Pırlantalı Çiçek Motifli Baget Yüzük,eşin,yıl dönümü
0.16 Karat Pırlanta Baget Fantezi Küpe,iş arkadaşın,yeni iş/terfi
Baget Pırlantalı Fantezi Bileklik,çocuğun,doğum günü
0.38 Karat Baget Pırlanta Tasarım Yüzük,çocuğun,özür dilerim
0.15 Karat Baget Pırlantalı Tasarım Yüzük,iş arkadaşın,söz-nişan-düğün
Sarı Lacivert Mineli Altın Habbe Kolye,sevgilin,söz-nişan-düğün
Siyah Beyaz Mineli Habbe Altın Kolye,kardeşin,geçmiş olsun
Sarı Kırmızı Mineli Habbe Altın Kolye,iş arkadaşın,doğum günü
Damla Yakut Çift Pırlantalı Yüzük,iş arkadaşın,doğum günü
Pırlanta Miracle Sıra Taşlı Yüzük,kardeşin,yeni iş/terfi
Pırlanta Effect Tektaş Yüzük Nanterre,baban,yıl dönümü
Pırlantalı Çift Baget Tasarım Yüzük,sevgilin,doğum günü
Miracle Baget Pırlanta Yüzük,çocuğun,söz-nişan-düğün
Safir Tektaş Yüzük,arkadaşın,özür dilerim
Siyah Pırlantalı Hexagonal Tektaş Yüzük,arkadaşın,doğum günü
Empati Sembolü Altın Kolye (Akoma Ntoso),baban,özür dilerim
Yakut Tektaş Yüzük,iş arkadaşın,anneler günü
0.27 Karat Effect Pırlanta Tektaş Yüzük,iş arkadaşın,özür dilerim
Pırlanta Yakut Damla Yüzük,arkadaşın,anneler günü
Siyah Pırlanta Oval Yüzük,iş arkadaşın,söz-nişan-düğün
0.70 Karat Pırlantalı Fantezi Baget Yüzük,annen,içimden geldi
Pırlanta Damla Baget Yüzük,çocuğun,içimden geldi
Pırlanta Markiz Baget Kesim Küpe,arkadaşın,özür dilerim
Pırlanta Markiz Baget Kesim Kolye,iş arkadaşın,geçmiş olsun
Baget Pırlanta Aşk Basamakları Yüzük,sevgilin,özür dilerim
0.19 Karat Prenses Kesim Tektaş Yüzük,annen,geçmiş olsun
Baget Pırlanta Çarkı Yüzük,kardeşin,özür dilerim
Pırlanta Miracle Bileklik Halle,arkadaşın,yeni iş/terfi
0.14 Karat Pırlanta Baget Bileklik,sevgilin,doğum günü
Fantezi Pırlanta Çerçevesi Baget Yüzük,eşin,yıl dönümü
0.91 Karat Pırlantalı Fantezi Baget Yüzük,kardeşin,yeni iş/terfi
Pırlanta 5 Taşlı Baget Yüzük,baban,söz-nişan-düğün
1.62 Karat Pırlantalı Fantezi Baget Yüzük,çocuğun,geçmiş olsun
Dünya Figürlü Altın Kolye Mundus,baban,özür dilerim
Pırlanta Yıldız Miracle Bileklik Dinant,baban,yıl dönümü
0.20 Karat Pırlanta Yarımtur Alyans,eşin,özür dilerim
Miracle Pırlantalı Alyans,sevgilin,doğum günü
1.02 Karat Baget Pırlantalı Yüzük,baban,doğum günü
1.21 Karat Pırlanta Miracle Suyolu Bileklik,kardeşin,yeni iş/terfi
1.37 Karat Pırlantalı Aşk Çarkı Baget Yüzük,arkadaşın,yeni iş/terfi
Pırlantalı Boğaz Çakrası (Vısshıddha) Bileklik,arkadaşın,yıl dönümü
Pırlantalı Göbek Çakrası (Manipura-Solar Pleksus) Bileklik,baban,yıl dönümü
Pırlantalı Alın Çakrası (Ajna) Bileklik,annen,söz-nişan-düğün
Pırlantalı Taç Çakrası (Sahashrara) Bileklik,eşin,doğum günü
Pırlantalı Troika Baget Yüzük,sevgilin,yeni iş/terfi
0.96 Karat Pırlanta Tamtur Alyans,sevgilin,söz-nişan-düğün
Baget Pırlanta Fantezi Pinus Yüzük,kardeşin,söz-nişan-düğün
0.30 Karat Yarımtur Pırlantalı Baget Yüzük,annen,doğum günü
Pırlanta Fantezi Baget Küpe Molfetta,annen,yıl dönümü
Pırlanta Miracle Beştaş Alyans,baban,yıl dönümü
0.66 Karat Pırlanta Baget Fantezi Küpe,arkadaşın,içimden geldi
2.50 Karat Pırlanta Prenses Tamtur Yüzük,eşin,anneler günü
0.05 Karat Pırlanta Tektaş Baget Yüzük,kardeşin,yıl dönümü
1 Karat Zümrüt Pırlanta Yüzük,kardeşin,yıl dönümü
Pırlantalı Chain Tria Baget Yüzük,iş arkadaşın,özür dilerim
0.23 Karat Pırlanta Tamtur Alyans,arkadaşın,doğum günü
İsim Altın Kolye,kardeşin,geçmiş olsun
Üç Habbeli Altın Bileklik,baban,yeni iş/terfi
Habbe Altın Kolye,arkadaşın,geçmiş olsun
Baget Pırlantalı Quadratum Kolye,annen,doğum günü
Baget Pırlanta Bileklik,eşin,anneler günü
0.64 Karat Pırlanta Baget Küpe,eşin,söz-nişan-düğün
Pırlanta Fantezi Baget Bileklik,baban,söz-nişan-düğün
Tektaş Baget Pırlantalı Altın Yüzük,eşin,içimden geldi
0.14 Karat Pırlanta Yüzük,eşin,yıl dönümü
Fatma Eli Altın Küpe,arkadaşın,içimden geldi
Altın Göz Küpe,arkadaşın,geçmiş olsun
Kuzey Yıldızı Altın Küpe,kardeşin,içimden geldi
Altın Damla Küpe,baban,yıl dönümü
Altın Damla Kolye,baban,içimden geldi
14 Ayar Altın Kolye,sevgilin,geçmiş olsun
Deniz Yıldızı Altın Kolye,annen,doğum günü
Tasarım Baget Pırlantalı Yüzük,annen,geçmiş olsun
0.15 Karat Tria Baget Pırlantalı Yüzük,kardeşin,yeni iş/terfi
Pırlanta Fantezi Effect Yüzük Venlo,sevgilin,yeni iş/terfi
Pırlanta Su Yolu Bileklik,iş arkadaşın,doğum günü
0.80 Karat Beştaş Pırlanta Alyans,eşin,doğum günü
0.90 Karat Uluslararası Sertifikalı Pırlanta Beştaş Alyans,baban,doğum günü
0.60 Karat Pırlantalı Beştaş Alyans,baban,geçmiş olsun
0.70 Karat Beştaş Pırlanta Alyans,annen,içimden geldi
Göbek Çakrası Altın Kolye,baban,geçmiş olsun
Boğaz Çakrası (Visshiddha) Altın Kolye,baban,doğum günü
Bolluk Sembolü Altın Kolye (Kintinkantan),annen,yeni iş/terfi
Anahata Kalp Çakra Altın Kolye,iş arkadaşın,söz-nişan-düğün
Pırlanta Effect Bileklik,eşin,özür dilerim
Pırlantalı Tria Yüzük,arkadaşın,yıl dönümü
Dostluk Sembol Altın Bileklik (Ese Kd Tekrema),kardeşin,yıl dönümü
Göbek Çakrası Altın Bileklik,arkadaşın,geçmiş olsun
Mutlu Evlilik Sembolü Bileklik (Kete Pa),kardeşin,özür dilerim
Nazar Sembolü Altın Bileklik,çocuğun,yeni iş/terfi
Değişim Sembolü Altın Bileklik (Sesa Wo Suban),sevgilin,yıl dönümü
Bilge Sembolü Altın Bileklik (Ananse Ntontan),eşin,içimden geldi
Talih Sembolü Altın Bileklik (Hwemudua),annen,doğum günü
